total.pckts,tcp.pct,udp.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.res.count,tcp.flag.ae.count,tcp.flag.cwr.count,tcp.flag.ece.count,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,label
4195,88.89153754469606,10.96543504171633,0.1430274135876043,227,245,6,7,730.8936829558999,682.2728311766505,465496.2161618022,60.0,1514.0,60.0,554.0,1514.0,0.0002382231227651967,0.00040836211429827376,1.6675961639415638e-07,0.0,0.006845,8e-06,8.9e-05,0.000303,89.45908200238378,35.495003343085536,1259.8952623256532,40.0,255.128,54.0,64.0,127.0,0,0,0,0,0,3711,294,7,30,16,0.468467096041211,0.45444126816480346,0.6891476815735507,0
3210,84.797507788162,15.109034267912772,0.09345794392523366,202,216,4,5,646.4728971962617,644.5575996489447,415454.49926520925,60.0,1514.0,60.0,359.0,1514.0,0.00031140934579439254,0.0005961280222583618,3.55368618921666e-07,0.0,0.008054,9e-06,0.000109,0.000332,93.66421433021807,34.77461284438624,1209.2736984769524,39.0,255.128,54.0,114.0,127.0,0,0,0,0,0,2720,279,6,3,9,0.5200077969076556,0.5103735486212899,0.6733788281643364,0
3953,90.56412850999241,9.334682519605362,0.10118897040222614,193,200,4,4,721.093599797622,671.5661501070871,451001.09396965464,60.0,1514.0,60.0,590.0,1514.0,0.0002528899569946876,0.00046839162390347936,2.1939071334293844e-07,0.0,0.009329,8e-06,8.9e-05,0.00031,91.7212850999241,35.623812118840746,1269.0559898784647,42.0,255.128,54.0,113.0,127.0,0,0,0,0,0,3570,276,2,16,11,0.4685215290124483,0.4547857413494607,0.6928931840694524,0
3936,89.98983739837398,9.730691056910569,0.27947154471544716,203,215,7,7,714.2639735772358,672.244552360419,451912.7381782601,60.0,1514.0,60.0,590.0,1514.0,0.000254010924796748,0.00045464460687348374,2.0670171855914456e-07,0.0,0.005786,8e-06,8.3e-05,0.00030325,92.46905309959351,35.59579125216313,1267.0603548675733,38.0,255.128,54.0,114.0,127.0,0,0,0,0,0,3536,233,13,12,18,0.4643695304995514,0.4469653888873872,0.6726103019103492,0
4101,91.48988051694708,8.461350890026823,0.0487685930260912,184,195,7,6,719.5861984881736,676.9782485209162,458299.5489704474,60.0,1514.0,60.0,590.0,1514.0,0.00024373860034138014,0.0004225375612628337,1.7853799067794293e-07,0.0,0.005915,8e-06,8.3e-05,0.000302,90.98488173616191,35.05899231458399,1229.132942114059,40.0,128.0,54.0,112.0,127.0,0,0,0,0,0,3736,280,5,22,18,0.4650561878613382,0.4443214089132714,0.6929472038067136,0
3957,90.24513520343694,9.6790497851908,0.0758150113722517,189,205,3,3,696.461713419257,672.6434536479829,452449.2157354862,60.0,1514.0,60.0,396.0,1514.0,0.0002526467020470053,0.00044581703493403726,1.9875282863737661e-07,0.0,0.005129,9e-06,0.0001,0.000298,90.78830831437958,35.38249639791256,1251.9210513482954,40.0,244.0,54.0,109.0,127.0,0,0,0,0,0,3561,345,10,17,23,0.4778288784515905,0.4669790209127519,0.678981724314029,0
3694,88.54899837574445,11.315646995127233,0.1353546291283162,188,206,3,3,634.8979426096372,643.490493983693,414080.0158473772,60.0,1514.0,60.0,182.0,1514.0,0.00027035165132647534,0.0004474903573003268,2.0024761987677416e-07,0.0,0.004538,9e-06,0.000104,0.000313,92.90594639956686,35.131278070439556,1234.2066988625472,32.0,253.0,54.0,113.0,127.0,0,0,0,0,0,3256,352,8,30,19,0.5437886145797513,0.5210871045464577,0.6841245508869663,0
2133,81.66901078293483,18.23722456633849,0.09376465072667604,192,202,4,4,458.10501640881387,516.1207537908019,266380.63249358564,60.0,1514.0,60.0,145.0,590.0,0.0004687121425222691,0.0007710704126500445,5.945495812643098e-07,0.0,0.008967,5.2e-05,0.000194,0.000493,102.94103000468823,31.480126836090736,990.9983856163602,32.0,253.0,63.0,118.0,127.0,0,0,0,0,0,1736,273,1,13,13,0.6157718979374278,0.6103512253195007,0.6490742248166836,0
2577,83.7407838571983,16.065192083818395,0.19402405898331393,203,219,4,5,512.4990298797051,573.0500938260078,328386.4100339964,60.0,1514.0,62.0,127.0,611.0,0.000387360884749709,0.0006272863164594214,3.9348812281722933e-07,0.0,0.005575,1.4e-05,0.000149,0.000408,113.94429181218472,48.61171330863254,2363.098670800682,1.0,245.0,63.0,120.0,127.0,0,0,0,0,0,2116,321,30,79,36,0.6465729661066202,0.612210997059773,0.648328336044321,0
3562,88.3773161145424,11.482313307130825,0.1403705783267827,206,206,3,4,584.8966872543515,608.8867159419544,370743.03285057837,60.0,1514.0,66.0,172.5,1484.0,0.0002806816395283549,0.0004833720304196092,2.336485197919756e-07,0.0,0.005104,9e-06,9.7e-05,0.00031775,102.01784025828186,50.18550807846368,2518.5852210935427,1.0,247.0,56.0,116.5,127.0,0,0,0,0,0,3105,501,30,85,69,0.6415804245781211,0.6035281391827664,0.6904235329024521,0
